time,ssh,system,kernel,containers
1714560577,16.4487,0,2.9062,0
1714560578,35.1816,0,2.0062,0
1714560579,6.4967,0,1.2988,0
1714560580,0,0,1.0043,0
1714560581,0,0,0,0
1714560582,0,0.9999,0,0
1714560583,0,0,0.878,0
1714560584,0,0.7481,1.5057,0
1714560585,0,0,1.0008,0
1714560586,0,0,2,0
1714560587,0,2.5131,0.8397,0
1714560588,0,0.8869,0.8839,0
1714560589,0,0,1.9984,0
1714560590,0,0,2.0094,0
1714560591,0,0,0.9989,0
1714560592,0,0,0,0
1714560593,0,0.8386,0.8414,0
1714560594,0.9,0,0.9002,0
1714560595,0,0.9994,1.0002,0
1714560596,0,0,0,0
1714560597,0,0,0,0
1714560598,0,0.668,0.6676,0
1714560599,0,0,0.9999,0
1714560600,0,0,0,0
